name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Banas Dairy,4.5,(69 Reviews),Private,Palanpur + 7 more,53 years old,1k-5k Employees (India)
SDM College of E...,4.2,(69 Reviews),Private,Dharwad + 17 more,43 years old,201-500 Employees (India)
Pee Empro Export...,4,(69 Reviews),Private,New Delhi + 1 more,41 years old,201-500 Employees (India)
IMA-PG,4,(69 Reviews),Private,Navi Mumbai + 3 more,61 years old,201-500 Employees (India)
Uma Polymers,3.7,(69 Reviews),Private,Jodhpur + 16 more,35 years old,1k-5k Employees (India)
Vantage Integrat...,3.2,(69 Reviews),Private,West Midlands + 9 more,32 years old,51-200 Employees (India)
INIFD,3.9,(69 Reviews),Private,Chandigarh + 27 more,27 years old,51-200 Employees (Global)
Lot Mobiles,3.8,(69 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",10 years old,501-1k Employees (India)
Supertron Electr...,4.7,(69 Reviews),Private,Kolkata + 21 more,29 years old,501-1k Employees (India)
J&K Bank,4.2,(69 Reviews),Public,"Srinagar,Jammu And Kashmir + 17 more",84 years old,10k-50k Employees (India)
Allied Nippon,3.9,(69 Reviews),Luton + 8 more,40 years old,1k-5k Employees (India),
Ocean Sparkle,4.3,(69 Reviews),Hyderabad + 12 more,27 years old,1k-5k Employees (India),
Sensiple,3.3,(69 Reviews),Private,"Iselin,New Jersey",23 years old,201-500 Employees (India)
MFX,3.5,(69 Reviews),Private,Morris Plains + 9 more,21 years old,501-1k Employees (India)
Bioworld Merchan...,3.7,(69 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",14 years old,201-500 Employees (India)
Allahabad High C...,4,(69 Reviews),Private,Allahabad + 5 more,153 years old,5k-10k Employees (India)
TD Power Systems,4.2,(69 Reviews),Public,"Bangalore,Karnataka + 4 more",23 years old,501-1k Employees (India)
Lybrate,3.7,(69 Reviews),Private,"Delhi,NCT + 5 more",9 years old,51-200 Employees (India)
Vertex Homes,3.9,(69 Reviews),Private,"Hyderabad/Secunderabad,Telangana",28 years old,201-500 Employees (India)
Textronics Desig...,1.9,(69 Reviews),Private,"Navi Mumbai,Maharashtra",32 years old,51-200 Employees (India)
Object Technolog...,3.5,(69 Reviews),Private,"Overland Park,Kansas + 4 more",12 years old,201-500 Employees (India)
RDM India,3.1,(69 Reviews),Private,New Delhi + 2 more,30 years old,501-1k Employees (India)
Progility Techno...,3.4,(69 Reviews),Mumbai + 14 more,10 years old,51-200 Employees (India),
Dynamic Engineer...,3.3,(69 Reviews),Public,Houston + 16 more,40 years old,51-200 Employees (India)
Stellapps Techno...,3.9,(69 Reviews),Private,"Bangalore,Karnataka + 16 more",11 years old,201-500 Employees (India)
Dynamic Techno M...,4,(69 Reviews),Private,Aluva + 16 more,42 years old,11-50 Employees (India)
KSA PowerInfra,3.7,(69 Reviews),Private,Chennai + 12 more,11 years old,51-200 Employees (India)
Amarprakash Deve...,2.9,(69 Reviews),Private,"Chennai,Tamil Nadu",18 years old,51-200 Employees (India)
Tech2Globe,4,(69 Reviews),LLP,"Delhi/NCR,Delhi",8 years old,201-500 Employees (India)
Siemens PLM Soft...,4.3,(69 Reviews),Private,Plano + 3 more,25 years old,1k-5k Employees (India)
Keltron,4.1,(69 Reviews),Public,Thiruvananthapuram + 11 more,49 years old,51-200 Employees (India)
Ishan Netsol,4.2,(69 Reviews),Private,Rajkot + 17 more,22 years old,51-200 Employees (India)
KLES Dr. Prabhak...,4.5,(69 Reviews),Belgaum + 4 more,26 years old,201-500 Employees (India),
Tech2Globe,4,(69 Reviews),LLP,"Delhi/NCR,Delhi",8 years old,201-500 Employees (India)
Navnit Motors,3.8,(69 Reviews),Mumbai + 5 more,36 years old,501-1k Employees (India),
Sharda Cropchem,4.4,(69 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
Dynamic Engineer...,3.3,(69 Reviews),Public,Houston + 16 more,40 years old,51-200 Employees (India)
Dynamic Techno M...,4,(69 Reviews),Private,Aluva + 16 more,42 years old,11-50 Employees (India)
Mandhana Industr...,4.2,(69 Reviews),Public,Mumbai + 11 more,38 years old,5k-10k Employees (India)
Grace Toyota,3.7,(69 Reviews),Nagpur + 6 more,21 years old,51-200 Employees (India),
Manipal HealthMa...,3.8,(69 Reviews),Private,"New Delhi,Delhi + 20 more",7 years old,201-500 Employees (India)
Brij Gopal Const...,4,(69 Reviews),Private,New Delhi + 14 more,23 years old,1k-5k Employees (India)
Prettislim,4.6,(69 Reviews),Private,Mumbai + 2 more,17 years old,51-200 Employees (India)
LS Automotive In...,3.9,(69 Reviews),"Chennai,Tamil Nadu + 3 more",16 years old,1k-5k Employees (India),
Juma Al Majid Gr...,4.3,(69 Reviews),Private,Dubai + 5 more,72 years old,5k-10k Employees (Global)
Auma,4,(69 Reviews),Private,Muellheim + 5 more,58 years old,201-500 Employees (India)
Wockhardt Biotec...,4.4,(69 Reviews),Private,Aurangabad + 4 more,18 years old,1k-5k Employees (India)
Karuna Greentech,2.5,(69 Reviews),Private,Kolkata + 15 more,7 years old,201-500 Employees (India)
Trinity Engineer...,3.8,(69 Reviews),Private,Pune + 7 more,49 years old,201-500 Employees (India)
Artson Engineeri...,3.9,(69 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 10 more",44 years old,201-500 Employees (India)
Mepro Pharmaceut...,4.3,(69 Reviews),Mumbai + 4 more,40 years old,1k-5k Employees (India),
Simon India,3.7,(69 Reviews),Private,"Delhi/NCR,Delhi + 11 more",19 years old,51-200 Employees (India)
Gromax Agri Equi...,3.8,(69 Reviews),Private,Vadodara + 8 more,62 years old,501-1k Employees (India)
Denso Ten Minda ...,4.1,(69 Reviews),Bawal + 5 more,10 years old,51-200 Employees (India),
Deccan iServices...,3.3,(69 Reviews),Chennai + 4 more,201-500 Employees (India),,
Stanadyne India,4,(69 Reviews),Private,Windsor + 2 more,146 years old,201-500 Employees (India)
S Mobile Devices,4.1,(69 Reviews),Private,Noida + 5 more,10 years old,51-200 Employees (India)
Calvin Klein Jea...,4.7,(69 Reviews),Public,"New York City,Midtown Manhattan + 21 more",54 years old,10k-50k Employees (Global)
PressureJet Syst...,4.7,(69 Reviews),"Ahmedabad,Gujarat + 2 more",26 years old,51-200 Employees (India),
Venus Home Appli...,4.2,(69 Reviews),Private,Thoothukudi + 16 more,58 years old,501-1k Employees (India)
Go Fashion,4.2,(69 Reviews),Chennai + 17 more,51-200 Employees (India),,
Advics,4.4,(69 Reviews),Private,Kariya + 1 more,21 years old,1k-5k Employees (Global)
Manipal HealthMa...,3.8,(69 Reviews),Private,"New Delhi,Delhi + 20 more",7 years old,201-500 Employees (India)
Advics,4.4,(69 Reviews),Private,Kariya + 1 more,21 years old,1k-5k Employees (Global)
Gram Panchayat,4.1,(69 Reviews),Raigarh + 18 more,,,
Denso Ten Minda ...,4.1,(69 Reviews),Bawal + 5 more,10 years old,51-200 Employees (India),
GASCO,4.4,(69 Reviews),Private,Abu Dhabi + 5 more,51 years old,201-500 Employees (India)
Al Jaber Energy ...,4.6,(69 Reviews),Private,"Abu Dhabi,Abu Dhabi + 4 more",28 years old,1 Lakh+ Employees (India)
Swan Enterprises,2.9,(69 Reviews),Private,"Ludhiana,Punjab + 7 more",37 years old,1k-5k Employees (India)
ICRA Online,3.8,(69 Reviews),Kolkata + 2 more,23 years old,201-500 Employees (India),
Pentagon System ...,4.1,(69 Reviews),Private,"Mumbai,Maharashtra + 14 more",28 years old,201-500 Employees (India)
Chandan Healthca...,3.7,(69 Reviews),Private,Lucknow + 9 more,31 years old,501-1k Employees (India)
Thejo Engineerin...,4.2,(69 Reviews),Public,"Chennai,Tamil Nadu + 14 more",48 years old,501-1k Employees (India)
IG Petrochemical...,3.6,(69 Reviews),Public,"Mumbai,Maharashtra + 6 more",34 years old,1k-5k Employees (India)
Servotech Power ...,3.3,(69 Reviews),Public,"Delhi/NCR,Delhi + 2 more",28 years old,51-200 Employees (India)
Mtandt,3.4,(69 Reviews),"Chennai,Tamil Nadu + 9 more",48 years old,51-200 Employees (India),
Radiant Polymers,4.1,(69 Reviews),"New Delhi,Delhi + 9 more",33 years old,501-1k Employees (India),
GENWORKS Health,3.3,(69 Reviews),Private,Bengaluru + 17 more,7 years old,201-500 Employees (India)
Navnit Motors,3.8,(69 Reviews),Mumbai + 5 more,36 years old,501-1k Employees (India),
Sharda Cropchem,4.4,(69 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
Grace Toyota,3.7,(69 Reviews),Nagpur + 6 more,21 years old,51-200 Employees (India),
Mandhana Industr...,4.2,(69 Reviews),Public,Mumbai + 11 more,38 years old,5k-10k Employees (India)
Dr B Lal Clinica...,4.5,(69 Reviews),Private,"Jaipur,Rajasthan + 5 more",31 years old,201-500 Employees (India)
KLES Dr. Prabhak...,4.5,(69 Reviews),Belgaum + 4 more,26 years old,201-500 Employees (India),
Mfine,3.8,(69 Reviews),Private,"Bangalore,Karnataka + 3 more",5 years old,201-500 Employees (India)
NATIONAL SKILL ...,4.2,(69 Reviews),New Delhi + 24 more,14 years old,51-200 Employees (India),
Vaidik Eduservic...,3.3,(69 Reviews),Noida + 6 more,201-500 Employees (India),,
Central Bureau o...,4.1,(69 Reviews),"Delhi/NCR,New Delhi + 12 more",32 years old,,
Daksh eServices,4.5,(69 Reviews),Gurgaon/Gurugram + 7 more,501-1k Employees (India),,
Flex Industries,3.7,(69 Reviews),Private,Noida + 8 more,37 years old,1-10 Employees (India)
PressureJet Syst...,4.7,(69 Reviews),"Ahmedabad,Gujarat + 2 more",26 years old,51-200 Employees (India),
Zimmer Biomet,3.8,(69 Reviews),Private,"Warsaw,Indiana + 11 more",95 years old,51-200 Employees (India)
NATIONAL SKILL ...,4.2,(69 Reviews),New Delhi + 24 more,14 years old,51-200 Employees (India),
Vaidik Eduservic...,3.3,(69 Reviews),Noida + 6 more,201-500 Employees (India),,
Laminaar Aviatio...,3.7,(69 Reviews),Singapore + 3 more,29 years old,201-500 Employees (India),
Grant Thornton B...,3.7,(69 Reviews),LLP,"New Delhi,Delhi + 12 more",87 years old,1k-5k Employees (India)
Sunstone Eduvers...,4.3,(69 Reviews),Private,"Gurgaon,Haryana + 11 more",11 years old,51-200 Employees (India)
Zydus Lifescienc...,4.1,(69 Reviews),Ahmedabad + 7 more,10k-50k Employees (India),,
Waste Management,4.2,(69 Reviews),Private,Houston + 8 more,54 years old,51-200 Employees (India)
Rashi Peripheral...,3.6,(69 Reviews),"Mumbai,Maharashtra + 16 more",33 years old,501-1k Employees (India),
KPC Projects,4.2,(69 Reviews),Private,Hyderabad + 11 more,27 years old,201-500 Employees (India)
Euronet Worldwid...,4,(129 Reviews),Private,"Leawood,Kansas + 3 more",28 years old,5k-10k Employees (Global)
Gokaldas Images,3.6,(68 Reviews),Bengaluru + 3 more,43 years old,201-500 Employees (India),
Aplab,3.6,(68 Reviews),Public,"Thane,Maharashtra + 11 more",60 years old,501-1k Employees (India)
ARK Infosolution...,3.8,(68 Reviews),Private,"Mumbai,Maharashtra + 9 more",10 years old,201-500 Employees (India)
Deepija Telecom,4.5,(68 Reviews),Private,Hyderabad + 7 more,19 years old,201-500 Employees (India)
Ceratizit,4.3,(68 Reviews),Private,Mamer + 12 more,101 years old,201-500 Employees (India)
Neo Structo Cons...,4.1,(68 Reviews),Public,"Surat,Gujarat + 8 more",37 years old,501-1k Employees (India)
Andhra Pradesh S...,4.6,(68 Reviews),Vijayawada + 17 more,64 years old,,
NKC Projects,3.9,(68 Reviews),Private,Gurgaon + 15 more,19 years old,51-200 Employees (India)
Indo-Tibetan Bor...,4.4,(68 Reviews),Private,New Delhi + 16 more,60 years old,
CRMnext,3.9,(68 Reviews),Private,"Noida,Uttar Pradesh + 1 more",21 years old,501-1k Employees (India)
Tek Care,3.5,(68 Reviews),Private,Ahmedabad + 31 more,10k-50k Employees (India),
Richa Industries,3,(68 Reviews),Public,Faridabad + 8 more,29 years old,501-1k Employees (Global)
Dayanand Medical...,4.1,(68 Reviews),Private,Ludhiana + 2 more,58 years old,1k-5k Employees (India)
Streebo,4.6,(68 Reviews),Private,Houston + 1 more,51-200 Employees (India),
Systech Solution...,4,(68 Reviews),Private,"Glendale,California + 4 more",29 years old,51-200 Employees (India)
Zenith Precision,4.1,(68 Reviews),Bengaluru,36 years old,51-200 Employees (India),
LEONI,3,(68 Reviews),Pune + 2 more,51-200 Employees (India),,
ITC ABD,3.8,(68 Reviews),Kolkata + 25 more,112 years old,51-200 Employees (India),
Batliboi,4.4,(68 Reviews),Public,"Mumbai,Maharashtra + 11 more",130 years old,501-1k Employees (India)
Gateway Group,2.9,(68 Reviews),Private,"Ahmedabad,Gujarat + 4 more",25 years old,501-1k Employees (India)
Alchemy Solution...,3.3,(68 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",22 years old,51-200 Employees (India)
Gateway Group,2.9,(68 Reviews),Private,"Ahmedabad,Gujarat + 4 more",25 years old,501-1k Employees (India)
Gokaldas Images,3.6,(68 Reviews),Bengaluru + 3 more,43 years old,201-500 Employees (India),
Wockhardt Founda...,4.1,(68 Reviews),Mumbai + 17 more,14 years old,51-200 Employees (India),
UTI Mutual Fund,3.9,(68 Reviews),Private,Mumbai + 31 more,59 years old,1k-5k Employees (India)
Thermo Systems I...,4.3,(68 Reviews),Hyderabad + 8 more,17 years old,501-1k Employees (India),
Enpro Industries,3.9,(68 Reviews),Pune + 1 more,34 years old,201-500 Employees (India),
Geltec,3.6,(68 Reviews),Private,Mumbai + 5 more,20 years old,201-500 Employees (India)
Oberoi Flight Se...,3.4,(68 Reviews),New Delhi + 7 more,88 years old,501-1k Employees (India),
Deccan Cements,4.1,(68 Reviews),Public,Hyderabad + 5 more,43 years old,501-1k Employees (India)
The India Thermi...,3.5,(68 Reviews),Public,Kanpur + 6 more,71 years old,501-1k Employees (India)
Golden Star Faci...,4.4,(68 Reviews),Private,Hyderabad + 10 more,14 years old,51-200 Employees (India)
Earth Infrastruc...,3.7,(68 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",15 years old,5k-10k Employees (Global)
Elite Engineerin...,3.9,(68 Reviews),Private,Hyderabad + 5 more,12 years old,51-200 Employees (India)
Satyesh Brineche...,3.4,(68 Reviews),Private,"Ahmedabad,Gujarat + 4 more",8 years old,51-200 Employees (India)
Velankani Electr...,3.3,(68 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",37 years old,501-1k Employees (India)
Poddar Tyres,3.4,(68 Reviews),Public,Mumbai + 12 more,41 years old,501-1k Employees (India)
Shakti Hormann,3.1,(68 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",34 years old,51-200 Employees (India)
Adhunik Power,3.8,(68 Reviews),Kolkata + 4 more,23 years old,51-200 Employees (India),
Kamlesh Kumar Si...,3.8,(68 Reviews),Private,Panipat + 15 more,33 years old,5k-10k Employees (Global)
Emblix Solutions,4.6,(68 Reviews),One person company,"Hyderabad/Secunderabad,Telangana",10 years old,51-200 Employees (India)
Brose India Auto...,4,(68 Reviews),Private,Coburg,16 years old,201-500 Employees (India)
Suvidha Engineer...,4.3,(68 Reviews),Private,Noida + 16 more,39 years old,201-500 Employees (India)
Epp Composites,3.3,(68 Reviews),Private,Rajkot + 2 more,36 years old,501-1k Employees (India)
Pioneer e Soluti...,4.1,(68 Reviews),Private,"New Delhi,Delhi + 20 more",10 years old,11-50 Employees (India)
PATH India,4.1,(68 Reviews),New Delhi + 17 more,51-200 Employees (India),,
Crystal Ceramic ...,2.5,(68 Reviews),Private,Ahemdabad + 23 more,25 years old,51-200 Employees (India)
Lulu Hypermarket,4,(68 Reviews),Private,Abu Dhabi + 17 more,22 years old,201-500 Employees (India)
Shabari Telecabl...,3.8,(68 Reviews),"Bangalore/Bengaluru,Karnataka + 3 more",32 years old,1k-5k Employees (Global),
TNPL,4,(68 Reviews),Chennai + 8 more,37 years old,201-500 Employees (India),
Brose India Auto...,4,(68 Reviews),Private,Coburg,16 years old,201-500 Employees (India)
Suvidha Engineer...,4.3,(68 Reviews),Private,Noida + 16 more,39 years old,201-500 Employees (India)
Kwality Pharmace...,4.1,(68 Reviews),Public,Amritsar + 5 more,39 years old,201-500 Employees (India)
BACS HITECH ENGI...,4.3,(68 Reviews),Private,Bhilai Nagar + 14 more,4 years old,501-1k Employees (India)
Satyesh Brineche...,3.4,(68 Reviews),Private,"Ahmedabad,Gujarat + 4 more",8 years old,51-200 Employees (India)
Velankani Electr...,3.3,(68 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",37 years old,501-1k Employees (India)
Adhunik Power,3.8,(68 Reviews),Kolkata + 4 more,23 years old,51-200 Employees (India),
TNPL,4,(68 Reviews),Chennai + 8 more,37 years old,201-500 Employees (India),
Pioneer e Soluti...,4.1,(68 Reviews),Private,"New Delhi,Delhi + 20 more",10 years old,11-50 Employees (India)
Sungwoo Hitech,4,(68 Reviews),Private,Busan + 2 more,45 years old,51-200 Employees (India)
China State Cons...,3.8,(68 Reviews),Private,Beijing + 13 more,40 years old,51-200 Employees (India)
Klassic Wheels,3.2,(68 Reviews),Ahmednagar + 5 more,28 years old,51-200 Employees (India),
Epp Composites,3.3,(68 Reviews),Private,Rajkot + 2 more,36 years old,501-1k Employees (India)
PATH India,4.1,(68 Reviews),New Delhi + 17 more,51-200 Employees (India),,
Emblix Solutions,4.6,(68 Reviews),One person company,"Hyderabad/Secunderabad,Telangana",10 years old,51-200 Employees (India)
Schawk,4,(68 Reviews),Private,"Des Plaines,Illinois",69 years old,201-500 Employees (India)
Guardian Lifecar...,3.7,(68 Reviews),Private,"Mumbai,Maharashtra + 12 more",19 years old,201-500 Employees (Global)
GSPL,4.2,(68 Reviews),Public,Gandhinagar + 19 more,43 years old,1k-5k Employees (India)
Alchemy Solution...,3.3,(68 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",22 years old,51-200 Employees (India)
Actis Technologi...,4.3,(68 Reviews),Private,"Mumbai,Maharashtra + 8 more",51 years old,51-200 Employees (India)
Pilot Industries,3.2,(68 Reviews),Private,"Delhi/NCR,Delhi + 10 more",53 years old,201-500 Employees (India)
Central Coalfiel...,4.2,(68 Reviews),Private,Ranchi + 3 more,47 years old,10k-50k Employees (Global)
Golden Star Faci...,4.4,(68 Reviews),Private,Hyderabad + 10 more,14 years old,51-200 Employees (India)
Prumatech Servic...,3.9,(68 Reviews),Chennai + 6 more,26 years old,11-50 Employees (India),
Surya Food & Agr...,3.9,(68 Reviews),Private,Noida + 15 more,28 years old,1k-5k Employees (India)
Madhu Silica,4.1,(68 Reviews),"Bhavnagar,Gujarat",35 years old,51-200 Employees (India),
Elico,3.1,(68 Reviews),Hyderabad + 6 more,62 years old,201-500 Employees (India),
Kamlesh Kumar Si...,3.8,(68 Reviews),Private,Panipat + 15 more,33 years old,5k-10k Employees (Global)
Poddar Tyres,3.4,(68 Reviews),Public,Mumbai + 12 more,41 years old,501-1k Employees (India)
Shakti Hormann,3.1,(68 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",34 years old,51-200 Employees (India)
Kwality Pharmace...,4.1,(68 Reviews),Public,Amritsar + 5 more,39 years old,201-500 Employees (India)
Klassic Wheels,3.2,(68 Reviews),Ahmednagar + 5 more,28 years old,51-200 Employees (India),
Propel Industrie...,3.8,(68 Reviews),"Coimbatore,Tamil Nadu + 5 more",13 years old,201-500 Employees (India),
Agilysys Technol...,3.7,(68 Reviews),Private,"Alpharetta,Georgia",59 years old,501-1k Employees (India)
Radiant Applianc...,3.7,(68 Reviews),LLP,"Hyderabad/Secunderabad,Telangana",3 years old,1k-5k Employees (Global)
Bikayi,3.6,(68 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 4 more",3 years old,201-500 Employees (India)
Spaze Towers,3.9,(68 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",16 years old,51-200 Employees (India)
Genisys Informat...,3.4,(68 Reviews),Private,"London,England + 1 more",17 years old,501-1k Employees (India)
Clarion Technolo...,3.8,(68 Reviews),Private,"Pune,Maharashtra + 3 more",22 years old,201-500 Employees (India)
Premier Irrigati...,3.7,(68 Reviews),Public,"Kolkata,West Bengal + 15 more",57 years old,501-1k Employees (India)
Rane Group,4.1,(1.9k Reviews),Public,Chennai + 12 more,1k-5k Employees (India),
Finolex,4,(651 Reviews),"Pune,Maharashtra + 17 more",64 years old,5k-10k Employees (Global),
Cybertech System...,3.5,(69 Reviews),Private,"Oak Brook,Illinois + 5 more",27 years old,201-500 Employees (India)
Comau,3.3,(67 Reviews),Private,Grugliasco,25 years old,51-200 Employees (India)
Infotech,3.5,(67 Reviews),Private,"Newfoundland And Labrador,Canada + 22 more",28 years old,10k-50k Employees (India)
Tranistics Data ...,3.8,(67 Reviews),Private,Kolkata + 2 more,12 years old,51-200 Employees (India)
IOT Anwesha Engi...,4.2,(67 Reviews),Private,Vadodara + 8 more,26 years old,51-200 Employees (India)
Smile Foundation,4,(67 Reviews),Private,"Delhi/NCR,Delhi + 15 more",20 years old,51-200 Employees (India)
Modern Insulator...,4.1,(67 Reviews),Public,Sirohi + 5 more,37 years old,501-1k Employees (India)
Zeta,3.7,(67 Reviews),Private,"Bangalore,Karnataka + 9 more",7 years old,501-1k Employees (India)
Yethi Consulting,4.1,(67 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",9 years old,501-1k Employees (India)
BlazeClan Techno...,4.2,(67 Reviews),Private,"Pune,Maharashtra + 1 more",12 years old,201-500 Employees (India)
Ambey Mining,3.5,(67 Reviews),Private,Kolkata + 5 more,17 years old,1k-5k Employees (India)
SS Construction,3.8,(67 Reviews),Private,Chandigarh + 17 more,44 years old,51-200 Employees (India)
Skillmine Techno...,4.2,(67 Reviews),"Bangalore/Bengaluru,Karnataka + 4 more",11 years old,201-500 Employees (India),
Quatrro Mortgage...,3.1,(67 Reviews),Private,Marietta + 2 more,16 years old,51-200 Employees (India)
MAMTA Health Ins...,4.3,(67 Reviews),New Delhi + 19 more,32 years old,11-50 Employees (India),
SAS,4.2,(67 Reviews),Private,"Cary,North Carolina + 12 more",46 years old,201-500 Employees (India)
ESSPL,4.2,(67 Reviews),Private,"Bhubaneswar,Odisha",24 years old,201-500 Employees (India)
Sapphire Softwar...,4.6,(67 Reviews),Private,"Ahmedabad,Gujarat + 1 more",22 years old,51-200 Employees (India)
DuPont Pioneer,4.4,(67 Reviews),Private,Johnston + 16 more,96 years old,501-1k Employees (India)
MIC Electronics,3.4,(67 Reviews),Public,Hyderabad + 19 more,34 years old,201-500 Employees (India)
Skillmine Techno...,4.2,(67 Reviews),"Bangalore/Bengaluru,Karnataka + 4 more",11 years old,201-500 Employees (India),
Shyama Power Ind...,4,(67 Reviews),Public,Gurugram + 8 more,43 years old,1k-5k Employees (India)
Saudi Arabian Ai...,4.5,(67 Reviews),Private,Jeddah + 11 more,77 years old,201-500 Employees (India)
Bravura Solution...,4.2,(67 Reviews),Private,"Gurgaon/Gurugram,Haryana",18 years old,201-500 Employees (India)
Goodrich Maritim...,3.5,(67 Reviews),Mumbai + 11 more,25 years old,51-200 Employees (India),
JK Trust Gram Vi...,4.7,(67 Reviews),Private,Thane + 26 more,77 years old,51-200 Employees (India)
Cp Aquaculture,4,(67 Reviews),Chennai + 11 more,28 years old,501-1k Employees (India),
Babaji Shivram C...,3.6,(67 Reviews),Private,"Mumbai,Maharashtra + 7 more",46 years old,201-500 Employees (India)
Lazza Ice Creams,3.5,(67 Reviews),Cochin + 19 more,50 years old,1k-5k Employees (India),
Education Sector,4.4,(67 Reviews),Hyderabad/Secunderabad + 36 more,11-50 Employees (Global),,
Tata Lockheed Ma...,4.4,(67 Reviews),Private,Bethesda + 3 more,110 years old,11-50 Employees (India)
Jaipur Vidyut Vi...,3.8,(67 Reviews),Jaipur + 10 more,11-50 Employees (India),,
Innovative,3.4,(67 Reviews),Private,Bangalore + 23 more,20 years old,
Pure & Cure Heal...,4.3,(67 Reviews),Haridwar + 4 more,17 years old,11-50 Employees (India),
Gea Process Engi...,4.1,(67 Reviews),"Düsseldorf,Nordrhein-Westfalen + 3 more",141 years old,501-1k Employees (India),
HCG Manavata Can...,4.3,(67 Reviews),"Nashik,Maharashtra",15 years old,501-1k Employees (Global),
Ghaziabad Precis...,3.7,(67 Reviews),Ghaziabad + 7 more,34 years old,501-1k Employees (India),
Ramdev Food Prod...,4.5,(67 Reviews),Ahmedabad + 8 more,57 years old,501-1k Employees (India),
Brindavan Bevera...,4,(67 Reviews),Bareilly + 4 more,201-500 Employees (India),,
Avi Solar Energy,4.3,(67 Reviews),Private,Bangalore + 10 more,12 years old,51-200 Employees (India)
Aurobindo Realty...,4.2,(67 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",6 years old,501-1k Employees (India)
Meinhardt Group,3.6,(67 Reviews),"Bukit Merah, + 21 more",201-500 Employees (India),,
S K Patodia & As...,3.9,(67 Reviews),Mumbai + 15 more,30 years old,10k-50k Employees (India),
Grb Dairy Foods,3.9,(67 Reviews),Bengaluru + 11 more,38 years old,201-500 Employees (India),
Network Intellig...,4.3,(67 Reviews),Private,New York + 6 more,21 years old,201-500 Employees (India)
MSC Technology I...,4.1,(67 Reviews),Private,"Chennai,Tamil Nadu + 3 more",15 years old,1k-5k Employees (India)
ADNH Compass,4.4,(67 Reviews),Private,Abu Dhabi + 5 more,22 years old,5k-10k Employees (India)
BML Munjal Unive...,3.9,(67 Reviews),Private,"Delhi/NCR,New Delhi + 4 more",8 years old,201-500 Employees (India)
East India Techn...,3.5,(67 Reviews),Private,Bengaluru + 5 more,33 years old,51-200 Employees (India)
Gopal Corporatio...,3.8,(67 Reviews),Private,New Delhi + 15 more,80 years old,201-500 Employees (India)
Pure & Cure Heal...,4.3,(67 Reviews),Haridwar + 4 more,17 years old,11-50 Employees (India),
Network Intellig...,4.3,(67 Reviews),Private,New York + 6 more,21 years old,201-500 Employees (India)
Minda Kyoraku,3.9,(67 Reviews),Public,Gurugram + 6 more,14 years old,51-200 Employees (India)
Vigour Mobile,4.2,(67 Reviews),Private,Gurgaon + 16 more,8 years old,1k-5k Employees (India)
Tata Lockheed Ma...,4.4,(67 Reviews),Private,Bethesda + 3 more,110 years old,11-50 Employees (India)
Dr Shroff Charit...,4,(67 Reviews),Private,"Delhi/NCR,New Delhi + 4 more",108 years old,501-1k Employees (India)
Vydehi Institute...,4,(67 Reviews),Bengaluru + 1 more,22 years old,1k-5k Employees (India),
American Precoat,4.5,(67 Reviews),Private,Noida + 1 more,17 years old,11-50 Employees (India)
Mindseed,4.3,(67 Reviews),Private,Navi Mumbai + 10 more,10 years old,51-200 Employees (Global)
JK Trust Gram Vi...,4.7,(67 Reviews),Private,Thane + 26 more,77 years old,51-200 Employees (India)
Lazza Ice Creams,3.5,(67 Reviews),Cochin + 19 more,50 years old,1k-5k Employees (India),
Dai Ichi,3.1,(67 Reviews),Public,"Mumbai,Maharashtra + 6 more",62 years old,501-1k Employees (India)
Goodrich Maritim...,3.5,(67 Reviews),Mumbai + 11 more,25 years old,51-200 Employees (India),
Cp Aquaculture,4,(67 Reviews),Chennai + 11 more,28 years old,501-1k Employees (India),
KSB Limited - Ir...,4.1,(67 Reviews),Pune + 12 more,1k-5k Employees (India),,
LKP Securities,4,(67 Reviews),Public,"Mumbai,Maharashtra + 13 more",74 years old,501-1k Employees (India)
Nath Bio - Genes,4.1,(67 Reviews),Public,Aurangabad + 12 more,43 years old,501-1k Employees (India)
MIC Electronics,3.4,(67 Reviews),Public,Hyderabad + 19 more,34 years old,201-500 Employees (India)
Diverse Lynx,3,(67 Reviews),LLC,"Princeton,New Jersey + 5 more",20 years old,51-200 Employees (India)
